cow,aaa_bull,aaa_cow,no,stier,color_cow,aandacht,dad_name,dad_code,dadsdad_name,dadsdad_code,mom_name,mom_nr,momsdad_name,momsdad_code,momsmom_name,momsmom_code,match,nummer,birth,color_bull,bull_name,bull_dad,bulls_moms_dad,code,accuracy,score_prod,score_kg_eiwit,score_kg_vet,score_eiwit,score_vet,score_laatrijpheid,score_persistentie,score_vruchtbaarheid,score_uier,score_klauw,score_melksnelheid,score_afkalfgemak,index_inet,index_inet_nvo,index_nvi,index_tip,ziekte_stofwisseling,ziekte_reproductie,ziekte_celgetal,ext_frame,ext_type,ext_uier,ext_beenwerk,ext_totaal exterieur,ext_hoogtemaat,ext_voorhand,ext_inhoud,ext_openheid,ext_conditie score,ext_kruisligging,ext_kruisbreedte,ext_beenstand achter,ext_beenstand zij,ext_klauwhoek,ext_voorbeenstand,ext_beengebruik,ext_vooruieraanhechting,ext_voorspeenplaatsing,ext_speenlengte,ext_uierdiepte,ext_achteruierhoogte,ext_ophangband,ext_achterspeenplaatsing,kik,kik_adv,kiv,score_aanhouding,score_bevruchting,is_inteelt,n,rank
69,135,153,1169,Baarlinger Martijn,RB,,RED BANDIT,NL 7568 9515 2,MOLENKAMP ANDY,NL 4964 4272 0,JANS 2,NL 8974 0747 8 (78),EASTLAND VIGGO,NL 5276 7200 9,JANS 839,NL 3770 4139 0 (76),0.95,NLDM000931835302,2012,RB,Baarlinger Martijn,Beukenhof 346 Ideal,Kian,39706,97,448,19,34,0.03,0.16,104,102,99,98,99,102,97,155,78,67,101,101,99,98,97,99,107,100,103,106,95,104,108,91,104,99,100,99,102,91,100,105,103,100,107,106,105,102,,,,,,FALSE,2,2
69,513,153,1169,Baarlinger Martijn,RB,,RED BANDIT,NL 7568 9515 2,MOLENKAMP ANDY,NL 4964 4272 0,JANS 2,NL 8974 0747 8 (78),EASTLAND VIGGO,NL 5276 7200 9,JANS 839,NL 3770 4139 0 (76),0.92,NLDM000671889948,2017,RB,Bentehoek Andy Red,Kingfarm Holsteins Anreli-Red,Bouw Rocky,781489,86,1354,59,100,0.11,0.42,100,103,103,100,104,103,101,470,236,277,280,,98,104,103,103,108,106,109,102,101,104,106,97,93,103,105,99,101,104,106,107,105,105,103,108,105,105,,,TRUE,,,FALSE,2,1
1392,135,153,1392,Broekhuizen Bart,RB,,VALKELO ANGELINO,NL 9316 6816 4,JOTANI,NL 7374 9229 9,JANS 853,NL 6648 1169 3 (69),RED BANDIT,NL 7568 9515 2,JANS 2,NL 8974 0747 8 (78),0.95,NLDM000931835302,2012,RB,Baarlinger Martijn,Beukenhof 346 Ideal,Kian,39706,97,448,19,34,0.03,0.16,104,102,99,98,99,102,97,155,78,67,101,101,99,98,97,99,107,100,103,106,95,104,108,91,104,99,100,99,102,91,100,105,103,100,107,106,105,102,,,,,,FALSE,2,2
1392,513,153,1392,Broekhuizen Bart,RB,,VALKELO ANGELINO,NL 9316 6816 4,JOTANI,NL 7374 9229 9,JANS 853,NL 6648 1169 3 (69),RED BANDIT,NL 7568 9515 2,JANS 2,NL 8974 0747 8 (78),0.92,NLDM000671889948,2017,RB,Bentehoek Andy Red,Kingfarm Holsteins Anreli-Red,Bouw Rocky,781489,86,1354,59,100,0.11,0.42,100,103,103,100,104,103,101,470,236,277,280,,98,104,103,103,108,106,109,102,101,104,106,97,93,103,105,99,101,104,106,107,105,105,103,108,105,105,,,TRUE,,,FALSE,2,1
52,135,315,1076,Vandenberg Sneaker,ZB,,BIG WINNER,NL 4297 5958 3,ART-ACRES WIN 395,NL 9701 1831 2,AGAAT 51,NL 6664 0949 0 (34),CHARITYMAN,NL 7651 2684 5,AGAAT 34,NL 5293 0669 8 (73),0.92,NLDM000890157800,2011,ZB,Veenhuizer Gesnow,Flevo Genetics Snowman,Poos Stadel Classic,766704,96,14,7,12,0.07,0.13,101,101,100,105,99,92,101,58,33,29,43,103,96,103,102,101,103,97,101,105,108,111,106,102,99,97,99,97,106,103,96,104,103,109,101,105,100,103,,,,,,FALSE,2,2
52,351,315,1076,Vandenberg Sneaker,ZB,,BIG WINNER,NL 4297 5958 3,ART-ACRES WIN 395,NL 9701 1831 2,AGAAT 51,NL 6664 0949 0 (34),CHARITYMAN,NL 7651 2684 5,AGAAT 34,NL 5293 0669 8 (73),0.95,NLDM000925887513,2012,ZB,Bouw Rocky,Ladys-Manor Pl Shamrock,De-Su Oman Goli-Et,940892,99,22,10,17,0.1,0.18,108,110,101,110,104,99,107,77,46,158,267,100,99,109,103,106,107,102,107,102,109,107,104,107,95,107,101,98,104,108,102,109,109,90,106,104,100,100,,,,,,FALSE,2,1
86,153,153,1186,Vandenberg Sneaker,ZB,,,,,,,,,,,,1,NLDM000872390502,2016,ZB,Vdr Slash,Balu,Big Malki,361096,94,1049,59,56,0.23,0.12,104,107,103,105,111,91,101,369,202,259,286,,101,106,102,106,101,105,105,99,103,103,106,101,93,105,103,105,97,105,106,100,98,103,98,104,106,106,,,TRUE,,,FALSE,3,2
86,153,153,1186,Vandenberg Sneaker,ZB,,,,,,,,,,,,1,NLDM000916344441,2013,ZB,Mars Mandela,Mountfield Ssi Dcy Mogul,Charlesdale Superstition,768464,92,800,37,51,0.1,0.18,104,105,105,104,103,100,104,270,138,214,230,99,99,104,100,100,102,99,101,99,100,106,105,96,98,96,99,105,98,,100,100,101,101,98,103,102,99,,,,,,FALSE,3,3
86,513,153,1186,Vandenberg Sneaker,ZB,,,,,,,,,,,,0.92,NLDM000671889948,2017,RB,Bentehoek Andy Red,Kingfarm Holsteins Anreli-Red,Bouw Rocky,781489,86,1354,59,100,0.11,0.42,100,103,103,100,104,103,101,470,236,277,280,,98,104,103,103,108,106,109,102,101,104,106,97,93,103,105,99,101,104,106,107,105,105,103,108,105,105,,,TRUE,,,FALSE,3,1
85,153,513,1391,Vandenberg Sneaker,ZB,,MALAWI,NL 5870 1700 6,MAGISTER,NL 9342 7452 2,AGAAT 61,NL 6633 1154 1 (57),KIK Just in Time,NL 6643 6467 8,AGAAT 52,NL 6664 0958 4 (61),0.92,NLDM000916344441,2013,ZB,Mars Mandela,Mountfield Ssi Dcy Mogul,Charlesdale Superstition,768464,92,800,37,51,0.1,0.18,104,105,105,104,103,100,104,270,138,214,230,99,99,104,100,100,102,99,101,99,100,106,105,96,98,96,99,105,98,,100,100,101,101,98,103,102,99,,,,,,FALSE,3,2
